# Potential function.
#  r             r*V(r)
   6.069608E-01 -7.255843E+00
   6.080753E-01 -7.239535E+00
   6.091899E-01 -7.223290E+00
   6.103044E-01 -7.207107E+00
   6.114189E-01 -7.190987E+00
   6.125335E-01 -7.174929E+00
   6.136480E-01 -7.158933E+00
   6.147626E-01 -7.142998E+00
   6.169917E-01 -7.111312E+00
   6.181062E-01 -7.095561E+00
   6.192207E-01 -7.079870E+00
   6.203353E-01 -7.064240E+00
   6.214498E-01 -7.048670E+00
   6.225644E-01 -7.033159E+00
   6.236789E-01 -7.017708E+00
   6.247934E-01 -7.002317E+00
   6.259080E-01 -6.986985E+00
   6.270225E-01 -6.971712E+00
   6.281371E-01 -6.956498E+00
   6.292516E-01 -6.941342E+00
   6.303661E-01 -6.926244E+00
   6.314807E-01 -6.911205E+00
   6.325952E-01 -6.896223E+00
   6.337098E-01 -6.881299E+00
   6.348243E-01 -6.866432E+00
   6.359388E-01 -6.851622E+00
   6.370534E-01 -6.836870E+00
   6.381679E-01 -6.822174E+00
   6.392825E-01 -6.807534E+00
   6.403970E-01 -6.792951E+00
   6.415116E-01 -6.778423E+00
   6.426261E-01 -6.763952E+00
   6.437406E-01 -6.749536E+00
   6.448552E-01 -6.735175E+00
   6.459697E-01 -6.720870E+00
   6.481988E-01 -6.692424E+00
   6.493133E-01 -6.678282E+00
   6.504279E-01 -6.664195E+00
   6.515424E-01 -6.650162E+00
   6.526570E-01 -6.636183E+00
   6.548860E-01 -6.608386E+00
   6.560006E-01 -6.594567E+00
   6.571151E-01 -6.580801E+00
   6.582297E-01 -6.567088E+00
   6.593442E-01 -6.553428E+00
   6.615733E-01 -6.526264E+00
   6.626878E-01 -6.512760E+00
   6.638024E-01 -6.499308E+00
   6.649169E-01 -6.485907E+00
   6.660315E-01 -6.472558E+00
   6.682605E-01 -6.446013E+00
   6.704896E-01 -6.419671E+00
   6.716042E-01 -6.406576E+00
   6.727187E-01 -6.393530E+00
   6.749478E-01 -6.367590E+00
   6.760623E-01 -6.354694E+00
   6.771769E-01 -6.341847E+00
   6.782914E-01 -6.329050E+00
   6.794059E-01 -6.316301E+00
   6.816350E-01 -6.290951E+00
   6.827496E-01 -6.278348E+00
   6.838641E-01 -6.265794E+00
   6.849786E-01 -6.253288E+00
   6.860932E-01 -6.240829E+00
   6.883223E-01 -6.216055E+00
   6.905514E-01 -6.191470E+00
   6.919561E-01 -6.176073E+00
   6.933608E-01 -6.160750E+00
   6.947656E-01 -6.145501E+00
   6.961703E-01 -6.130326E+00
   6.989798E-01 -6.100193E+00
   7.003846E-01 -6.085236E+00
   7.017893E-01 -6.070350E+00
   7.031941E-01 -6.055536E+00
   7.045988E-01 -6.040793E+00
   7.074083E-01 -6.011520E+00
   7.088131E-01 -5.996989E+00
   7.102178E-01 -5.982528E+00
   7.116226E-01 -5.968136E+00
   7.130273E-01 -5.953813E+00
   7.144321E-01 -5.939559E+00
   7.158368E-01 -5.925374E+00
   7.172416E-01 -5.911257E+00
   7.186463E-01 -5.897207E+00
   7.200511E-01 -5.883225E+00
   7.214558E-01 -5.869310E+00
   7.228606E-01 -5.855462E+00
   7.242653E-01 -5.841680E+00
   7.270748E-01 -5.814315E+00
   7.284796E-01 -5.800731E+00
   7.298843E-01 -5.787211E+00
   7.312891E-01 -5.773757E+00
   7.326938E-01 -5.760367E+00
   7.340985E-01 -5.747041E+00
   7.355033E-01 -5.733779E+00
   7.369080E-01 -5.720581E+00
   7.383128E-01 -5.707446E+00
   7.397175E-01 -5.694373E+00
   7.411223E-01 -5.681363E+00
   7.425270E-01 -5.668416E+00
   7.439318E-01 -5.655531E+00
   7.453365E-01 -5.642707E+00
   7.467413E-01 -5.629944E+00
   7.495508E-01 -5.604602E+00
   7.509555E-01 -5.592022E+00
   7.523603E-01 -5.579502E+00
   7.537650E-01 -5.567041E+00
   7.551698E-01 -5.554641E+00
   7.565745E-01 -5.542299E+00
   7.579793E-01 -5.530016E+00
   7.593840E-01 -5.517793E+00
   7.607888E-01 -5.505627E+00
   7.621935E-01 -5.493519E+00
   7.635983E-01 -5.481470E+00
   7.650030E-01 -5.469478E+00
   7.664078E-01 -5.457543E+00
   7.692173E-01 -5.433843E+00
   7.706220E-01 -5.422078E+00
   7.720268E-01 -5.410369E+00
   7.734315E-01 -5.398716E+00
   7.748363E-01 -5.387118E+00
   7.776457E-01 -5.364088E+00
   7.790505E-01 -5.352655E+00
   7.804552E-01 -5.341277E+00
   7.818600E-01 -5.329953E+00
   7.832647E-01 -5.318683E+00
   7.846695E-01 -5.307466E+00
   7.860742E-01 -5.296303E+00
   7.874790E-01 -5.285192E+00
   7.888837E-01 -5.274135E+00
   7.902885E-01 -5.263130E+00
   7.916932E-01 -5.252177E+00
   7.945027E-01 -5.230428E+00
   7.959075E-01 -5.219631E+00
   7.973122E-01 -5.208885E+00
   7.987170E-01 -5.198190E+00
   8.001217E-01 -5.187545E+00
   8.015265E-01 -5.176951E+00
   8.029312E-01 -5.166408E+00
   8.043360E-01 -5.155914E+00
   8.057407E-01 -5.145471E+00
   8.071455E-01 -5.135076E+00
   8.085502E-01 -5.124731E+00
   8.099550E-01 -5.114435E+00
   8.113597E-01 -5.104188E+00
   8.127645E-01 -5.093989E+00
   8.141692E-01 -5.083839E+00
   8.155740E-01 -5.073736E+00
   8.169787E-01 -5.063681E+00
   8.183834E-01 -5.053674E+00
   8.197882E-01 -5.043714E+00
   8.211929E-01 -5.033802E+00
   8.225977E-01 -5.023936E+00
   8.240024E-01 -5.014117E+00
   8.254072E-01 -5.004344E+00
   8.268119E-01 -4.994617E+00
   8.282167E-01 -4.984936E+00
   8.296214E-01 -4.975301E+00
